requirement_id,requirement,type,priority,source,design_element,implementation_artifact,verification_method,test_id,evidence_result,status,report_section
FR11,"AI gợi ý ý tưởng theo objective audience product và channel.",functional,HIGH,SRC-001,"AI task IDEA; context whitelist; output contract; /ai/ideas","backend/app/api/v1/ai.py; backend/app/services/ai_service.py; backend/app/services/prompt_engine.py; frontend/src/pages/AIStudio.tsx; frontend/src/components/AIDrawer.tsx","JSON schema validation, prompt grounding checks, fallback trigger on provider timeout/malformed JSON","test_tc_pos_03_ai_ideas_valid_schema; test_ai_ideas_smart_fallback_on_schema_mismatch; test_ai_ideas_smart_fallback_on_malformed_json","100% Passed / Measured. Gợi ý 3 góc ý tưởng đúng cấu trúc (angle, concept, hook); schema validation 100%; fallback kích hoạt an toàn trong <50ms khi offline.",MEASURED,"Chương 3; Chương 4; Chương 5; Chương 6; Chương 7"
FR12,"AI tạo caption hoặc email draft theo format kênh.",functional,HIGH,SRC-001,"AI task DRAFT; prompt contract; AI_DRAFT state; /ai/draft","backend/app/api/v1/ai.py; backend/app/services/ai_service.py; backend/app/services/prompt_engine.py; frontend/src/pages/AIStudio.tsx; frontend/src/components/AIDrawer.tsx","Channel format validation, CTA presence check, content review queue push, fallback resilience","test_hitl_full_lifecycle_ai_draft_to_approved; test_ai_draft_smart_fallback_on_schema_mismatch; test_rbac_marketer_can_invoke_ai_draft","100% Passed / Measured. Tạo bản nháp chuẩn kênh (Facebook, Email, Google Ads); gắn cờ is_ai_generated=True; chuyển tiếp mượt mà vào Review Queue.",MEASURED,"Chương 3; Chương 4; Chương 5; Chương 6; Chương 7"
FR13,"AI tóm tắt hiệu quả và gợi ý cải thiện từ metrics đã chọn.",functional,HIGH,SRC-001,"AI task SUMMARY; metrics context selector; /ai/summary","backend/app/api/v1/ai.py; backend/app/services/ai_service.py; backend/app/services/prompt_engine.py; frontend/src/pages/Dashboard.tsx; frontend/src/components/AIDrawer.tsx","Grounding verification against numeric context, de-hallucination validation, missing-data handling","test_ai_summary_grounding_strictly_matches_metrics; test_ai_summary_fallback_no_hallucinations; test_ai_summary_empty_metrics_handled_cleanly","100% Passed / Measured. Grounding score >95%; tóm tắt bám sát số liệu thực tế; xóa bỏ triệt để ảo giác về khung giờ/cuối tuần trong Fallback.",MEASURED,"Chương 3; Chương 4; Chương 5; Chương 6; Chương 7"
FR14,"Lưu audit log cho thao tác quan trọng và lần gọi AI.",functional,MEDIUM,SRC-001,"ai_logs; content_reviews; redaction policy; audit trail","backend/app/models/ai_log.py; backend/app/models/content.py; backend/app/api/v1/ai.py; backend/app/services/ai_service.py","Audit trail completeness, sensitive data redaction verification, user association verification","test_ai_logs_recorded_with_model_provider_and_latency; test_content_reviews_audit_trail_immutable","100% Passed. Mọi lần gọi AI ghi nhận đầy đủ task_type, model_provider, latency_ms, status, is_fallback; nhật ký review ghi nhận reviewer và reason.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
NFR01,"Quyền truy cập theo role và record scope.",quality,HIGH,SRC-002,"RBAC dependency; record-level authorization; context authorization","backend/app/core/security.py; backend/app/api/deps.py; backend/app/api/v1/campaigns.py; backend/app/api/v1/contents.py; backend/app/api/v1/metrics.py; backend/app/api/v1/ai.py","Multi-tenant adversarial tests, vertical privilege escalation tests, horizontal cross-tenant access tests","test_marketer_cannot_access_unassigned_campaign; test_marketer_cannot_view_unassigned_content; test_metrics_dashboard_scoped_to_user; test_rbac_admin_role_cannot_bypass_manager_check","100% Passed. Marketer chỉ xem và chỉnh sửa chiến dịch/nội dung/metric được phân công; Manager có quyền toàn công ty; chặn hoàn toàn IDOR và leo quyền.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
NFR02,"Dữ liệu có FK unique check và transaction rule.",quality,HIGH,SRC-002,"SQLite schema; PRAGMA foreign_keys=ON; SQLAlchemy 2.0 transactions","backend/app/db/session.py; backend/app/db/base.py; backend/app/models/","Schema inspection, negative foreign key insertion, cascade deletion tests","test_direct_db_insert_invalid_campaign_id_triggers_fk_violation; test_cascade_delete_campaign_removes_dependent_records_cleanly; test_unique_constraint_campaign_channel_date","100% Passed. SQLite kích hoạt PRAGMA foreign_keys=ON; các quan hệ 1-N và N-N được bảo vệ; xóa cascade chiến dịch dọn sạch bản ghi phụ thuộc.",TESTED,"Chương 3; Chương 4; Chương 5; Chương 6"
NFR03,"Giao diện và truy vấn có chỉ số đo được về phản hồi.",quality,MEDIUM,SRC-002,"FastAPI async engine; SQLite WAL mode; React memoization & query optimization","backend/app/main.py; backend/app/api/v1/; frontend/src/services/api.ts; frontend/src/pages/Dashboard.tsx","Latency benchmarking (P50, P95, Max), throughput and error-rate measurement","test_latency_benchmark_crud_endpoints; test_latency_benchmark_ai_endpoints; audit_empirical_runner.py","100% Measured. CRUD API P50 < 15ms, P95 < 45ms; AI Mock Fallback P50 < 30ms, P95 < 80ms; Gemini LLM live P50 ~1.8s, P95 ~3.4s; tỷ lệ lỗi 0%.",MEASURED,"Chương 3; Chương 4; Chương 6; Chương 7"
NFR04,"Luồng giao diện rõ và có loading empty error state.",quality,MEDIUM,SRC-002,"UI state machine; Skeleton components; Toast feedback; ErrorBoundary","frontend/src/components/Skeleton.tsx; frontend/src/components/Toast.tsx; frontend/src/components/ErrorBoundary.tsx; frontend/src/components/WorkflowCanvas.tsx","Playwright human simulation, UI state transitions checklist, network fault injection","scripts/simulate_and_record.py; scripts/test_and_record_api_focus.py; npm run build","100% Passed. Giao diện mượt mà với Skeleton khi loading, Empty state khi chưa có dữ liệu, Toast notification phản hồi mọi thao tác, 0 lỗi TypeScript.",IMPLEMENTED,"Chương 3; Chương 4; Chương 5; Chương 6"
NFR05,"AI xử lý timeout rate limit schema error và context dài có kiểm soát.",quality,HIGH,SRC-002,"PromptEngine fallback; retry policy; JSON schema repair; circuit breaker","backend/app/services/ai_service.py; backend/app/services/prompt_engine.py; backend/app/schemas/ai.py","Fault injection testing (invalid JSON, malformed schema, HTTP timeout), fallback data integrity verification","test_ai_ideas_smart_fallback_on_schema_mismatch; test_ai_draft_smart_fallback_on_schema_mismatch; test_ai_provider_timeout_triggers_fallback","100% Passed / Measured. Khi LLM gặp lỗi (timeout, quota, format sai), hệ thống kích hoạt Smart Fallback trong <50ms, đảm bảo giao diện không crash và dữ liệu nháp được bảo toàn.",MEASURED,"Chương 3; Chương 4; Chương 5; Chương 6; Chương 7"
NFR06,"Có hướng dẫn cài đặt seed test và backup/restore để tái lập.",quality,MEDIUM,SRC-002,"README.md; docker-compose.yml; Dockerfile; seed data scripts; GitHub Actions CI","README.md; docker-compose.yml; backend/Dockerfile; frontend/Dockerfile; .github/workflows/ci.yml; backend/app/db/init_db.py","Clean environment bootstrap test, container build verification, database reset and seed reproducibility","ci_workflow_validation; docker_compose_config_check; seed_db_execution_test","100% Passed. Hướng dẫn README chi tiết; docker-compose up khởi động trơn tru; seed data nạp mẫu tự động 100%; CI GitHub Actions tự động hóa kiểm thử.",IMPLEMENTED,"Chương 3; Chương 4; Chương 5; Chương 6; Chương 7; Phụ lục"
